Blockchain Decision Scheme,Vertex Type,Vertex ID,Vertex Label,Decision A Label,Decision A Next Vertex ID,Decision B Label,Decision B Next Vertex ID,Decision C Label,Decision C Next Vertex ID
BestofICOs,Decision,1,Do we need a database?,Yes,2,No,A,,
BestofICOs,Decision,2,Does it require shared write access?,Yes,3,No,A,,
BestofICOs,Decision,3,Are the writers known and trusted?,Yes,4,No,5,,
BestofICOs,Decision,4,Can you align the writers' incentives?,Yes,B3,No,A,,
BestofICOs,Decision,5,Do we need to trust third parties?,Yes,6,No,7,,
BestofICOs,Decision,6,Do we control the consensus?,Yes,B3,No,B2,,
BestofICOs,Decision,7,Do you want transactions to be public?,Yes,B1,No,6,,
BestofICOs,Outcome,A,We don't need blockchain,,,,,,
BestofICOs,Outcome,B1,We can use a public blockchain,,,,,,
BestofICOs,Outcome,B2,We can use a hybrid blockchain,,,,,,
BestofICOs,Outcome,B3,We can use a private blockchain,,,,,,
Birch,Decision,1,Can anyone use the ledger?,Yes,2,No,3,,
Birch,Decision,2,Why do they maintain the integrity?,They are given rewards on the ledger,B1,They are given incentives off the ledger,B2,,
Birch,Decision,3,Who maintains the integrity?,All group members,B2,Privileged group members,B3,,
Birch,Outcome,B1,Double Permissionless,,,,,,
Birch,Outcome,B2,Permissionless/Permissioned,,,,,,
Birch,Outcome,B3,Double Permissioned,,,,,,
Broadcom,Decision,1,Are you interested in Blockchain for purposes other than cryptocurrencies such as Bitcoin?,Yes,2,,A,,
Broadcom,Decision,2,Does your business involve the exchange of value or assets across multiple parties?,Yes,3,,A,,
Broadcom,Decision,3,Do you transact with parties outside of your organisation where trust is paramount?,Yes,4,,A,,
Broadcom,Decision,4,Who should be allowed to join your blockchain network?,Anyone can join the network,B1,"Controlled by a single, trusted organisation",B3,Managed by a group of parties with a shared interest,B2
Broadcom,Outcome,A,Avoid,,,,,,
Broadcom,Outcome,B1,Public,,,,,,
Broadcom,Outcome,B2,Permissioned/Consortium,,,,,,
Broadcom,Outcome,B3,Private,,,,,,
Chand,Decision,1,My system is not a transactions based system,True,A,False,2,,
Chand,Decision,2,System speed and performance is a major concern for me,True,A,False,3,,
Chand,Decision,3,My customers trust my systems,True,A,False,4,,
Chand,Decision,4,Current database technology meet your security and transaction needs?,Yes,A,No,5,,
Chand,Decision,5,OK to copy data on peer-to-peer computers?,Yes,6,No,A,,
Chand,Decision,6,Need approval and update by public on your transactions?,Yes,7,No,B3,,
Chand,Decision,7,Are you ok open source the project code?,Yes,B1,No,B3,,
Chand,Outcome,A,You do not need blockchain,,,,,,
Chand,Outcome,B1,You should think about private blockchain,,,,,,
Chand,Outcome,B3,You need public blockchain,,,,,,
Chowdhury,Decision,1,Are there multiple parties?,Yes,2,No,A1,,
Chowdhury,Decision,2,Is there any trust deficit among parties?,Yes,3,No,A1,,
Chowdhury,Decision,3,Is there any trusted third party?,Yes,A1,No,4,,
Chowdhury,Decision,4,Should the record of transactions be immutable?,Yes,5,No,A1,,
Chowdhury,Decision,5,Is scalability a critical requirement?,Yes,A1,No,6,,
Chowdhury,Decision,6,Is public verifiability important?,Yes,8,No,7,,
Chowdhury,Decision,7,Is data durability important?,Yes,B2,No,B3,,
Chowdhury,Decision,8,Is data durability important?,Yes,B1,No,B2,,
Chowdhury,Outcome,A1,Use Database,,,,,,
Chowdhury,Outcome,B1,Public blockchain,,,,,,
Chowdhury,Outcome,B2,Hybrid,,,,,,
Chowdhury,Outcome,B3,"Private blockchain, off storage",,,,,,
CompTIA,Decision,1,Is there a need for a trusted central authority?,Yes,12,No,2,,
CompTIA,Decision,2,Is there a need for high performance?,Yes,12,No,3,,
CompTIA,Decision,3,Is there a need to capture massive amounts of data?,Yes,12,No,4,,
CompTIA,Decision,4,Do one or more parties need to be able to modify entries?,Yes,12,No,5,,
CompTIA,Decision,5,Is there a need for a persistent historical transaction record?,Yes - Analytical,A1iii,Yes - Immutable,6,No,12
CompTIA,Decision,6,Do multiple parties need to be able to access or audit data?,Yes,7,No,12,,
CompTIA,Decision,7,Are contractual relationships or value exchange being managed?,Yes,8,No,12,,
CompTIA,Decision,8,Can business process be represented by conditional logic?,Yes,9,No,12,,
CompTIA,Decision,9,Is there a need to centrally own application functionality?,Yes,12,No,10,,
CompTIA,Decision,10,Can transactions be public but hashed?,None,B3,Some,B2,All,11
CompTIA,Decision,11,Under thirty transactions per second okay?,Yes,B1,No,B3,,
CompTIA,Decision,12,Is there a specialised workload?,Yes,A1iv,No,13,,
CompTIA,Decision,13,Is the data structured?,Structured,14,Unstructured,A1v,,
CompTIA,Decision,14,Is there a need to scale for size or performance?,Size,A1vii,Performance,A1vi,,
CompTIA,Outcome,A1iii,Data Warehouse,,,,,,
CompTIA,Outcome,A1iv,Specialised Database,,,,,,
CompTIA,Outcome,A1v,NoSQL Database,,,,,,
CompTIA,Outcome,A1vi,Traditional Single-Server or Clustered RDBMS,,,,,,
CompTIA,Outcome,A1vii,Distributed/Cloud RDBMS,,,,,,
CompTIA,Outcome,B1,Public Blockchain,,,,,,
CompTIA,Outcome,B2,Hybrid Blockchain,,,,,,
CompTIA,Outcome,B3,Permissioned Blockchain,,,,,,
El Madhoun,Decision,1,Data Replication,No,A,Yes,2,,
El Madhoun,Decision,2,"Data Transparency, Data Integrity, Data Immutability, Origin Authentication",No,3,Yes,5,,
El Madhoun,Decision,3,Response Time vs Loading Time,No,4,Yes,A,,
El Madhoun,Decision,4,Restricted Access,No,A4,Yes,A4,,
El Madhoun,Decision,5,"Secure Code Execution, Execution Transparency",No,6,Yes,9,,
El Madhoun,Decision,6,Response Time vs Loading Time,No,7,Yes,A,,
El Madhoun,Decision,7,Restricted Access,No,B1,Yes,8,,
El Madhoun,Decision,8,Trust Between Users,No,B1,Yes,A4,,
El Madhoun,Decision,9,Response Time vs Loading Time,No,10,Yes,A,,
El Madhoun,Decision,10,Restricted Access,No,B1,Yes,11,,
El Madhoun,Decision,11,Trust Between Users,No,12,Yes,A4,,
El Madhoun,Decision,12,Public Verifiability,No,B3,Yes,B2,,
El Madhoun,Outcome,A,You can use a centralised system,,,,,,
El Madhoun,Outcome,A4,Public peer-to-peer system,,,,,,
El Madhoun,Outcome,A4,Private peer-to-peer system,,,,,,
El Madhoun,Outcome,A4,Trusted peer-to-peer system,,,,,,
El Madhoun,Outcome,B1,Permissionless Blockchain,,,,,,
El Madhoun,Outcome,B2,Public permissioned Blockchain,,,,,,
El Madhoun,Outcome,B3,Private Permissioned Blockchain,,,,,,
Gardner,Decision,1,Can you articulate a real business problem that needs solving?,Yes,2,No,A,,
Gardner,Decision,2,Could it have been fixed before blockchains?,Yes,A,No,3,,
Gardner,Decision,3,Do you need a database?,Yes,4,No,A,,
Gardner,Decision,4,Do many people need to write to it?,Yes,5,No,A,,
Gardner,Decision,5,Are writers known and trusted?,Yes,6,No,7,,
Gardner,Decision,6,Are writers' interests unified?,Yes,A,No,7,,
Gardner,Decision,7,Do you want to rely on a trusted third party?,Yes,A,No,8,,
Gardner,Decision,8,Will all participants need to upgrade/replace systems?,Yes,9,No,10,,
Gardner,Decision,9,Do the benefits justify the cost of adoption?,Yes,10,No,A,,
Gardner,Decision,10,Do you need to control read and write access?,Yes,11,No,12,,
Gardner,Decision,11,Is consensus determined by multiple entities?,Yes,B2,No,B3,,
Gardner,Decision,12,Do you value censorship resistance and immutability over efficiency?,Yes,B1,No,11,,
Gardner,Outcome,A,You probably don't need a blockchain,,,,,,
Gardner,Outcome,B1,Public,,,,,,
Gardner,Outcome,B2,Consortium (hybrid),,,,,,
Gardner,Outcome,B3,Private,,,,,,
Hassija,Decision,1,Need shared database?,Yes,2,No,A1,,
Hassija,Decision,2,Are there multiple writers to the database?,Yes,3,No,A1,,
Hassija,Decision,3,Some interested stakeholders involved?,Yes,4,No,5,,
Hassija,Decision,4,Is there any trusted third part of ledger maintenance?,Yes,A1,No,6,,
Hassija,Decision,5,Is the data prone to attacks? Can it be secured by storing multiple copies?,Yes,6,No,A1,,
Hassija,Decision,6,Does the data need to be kept private?,Yes,B3,No,7,,
Hassija,Decision,7,Do you need to restrict who can control the blockchain?,Yes,8,No,B1,,
Hassija,Decision,8,Does the ledger need to be maintained by a group of selected organisations?,Yes,B2,No,B3,,
Hassija,Outcome,A1,Traditional Database,,,,,,
Hassija,Outcome,B1,Public Blockchain,,,,,,
Hassija,Outcome,B2,Consortium Blockchain,,,,,,
Hassija,Outcome,B3,Private Blockchain,,,,,,
Hyperledger,Decision,1,Need for a common shared database?,Yes,2,No,A,,
Hyperledger,Decision,2,Multiple parties involved?,Yes,3,No,A,,
Hyperledger,Decision,3,Parties involved have conflicting incentives and are not trusted?,Yes,4,No,A,,
Hyperledger,Decision,4,Rules governing participants are not uniform?,Yes,5,No,A,,
Hyperledger,Decision,5,"Need for an objective, immutable log?",Yes,6,No,A,,
Hyperledger,Decision,6,Rules of transactions do not change frequently?,Yes,7,No,A,,
Hyperledger,Decision,7,Are transactions public?,Yes,B1,No,B3,,
Hyperledger,Outcome,A,Blockchain is not required,,,,,,
Hyperledger,Outcome,B1,Public Blockchain,,,,,,
Hyperledger,Outcome,B3,Permissioned Blockchain,,,,,,
IBM,Decision,1,High performance millisecond transactions?,Yes,A,No,2,,
IBM,Decision,2,Are you managing contractual relationships?,Yes,3,No,A,,
IBM,Decision,3,Are you working with complex business logic?,Yes,B,No,A,,
IBM,Decision,4,Does identity matter?,Yes,5,No,A,,
IBM,Decision,5,Do you need to keep your transactions private?,Yes,B,No,A,,
IBM,Decision,6,Does this require a market approach?,Yes,7,No,A,,
IBM,Decision,7,Does it require greater than two parties?,Yes,8,No,A,,
IBM,Decision,8,Are you looking to reduce costs?,Yes,B,No,9,,
IBM,Decision,9,Are you looking to improve discoverability?,Yes,B,No,A,,
IBM,Outcome,A,Consider alternative approaches,,,,,,
IBM,Outcome,B,Let's talk,,,,,,
Koens,Decision,1,Need to store state?,Yes,2,No,A3,,
Koens,Decision,2,Is there a single writer?,Yes,A1vi,No,3,,
Koens,Decision,3,Need to control functionality?,Yes,A1vi,No,4,,
Koens,Decision,4,Can you use a third-party?,Yes,A1vi,No,5,,
Koens,Decision,5,Transaction interaction?,Yes,6,No,A1vii,,
Koens,Decision,6,Participants known?,Yes,7,No,8,,
Koens,Decision,7,Can anyone join the network?,Yes,B3,No,B3,,
Koens,Decision,8,Transaction throughput matters?,Yes,A3,No,9,,
Koens,Decision,9,Store large amount of data?,Yes,A3,No,B1,,
Koens,Outcome,A1vi,Central database,,,,,,
Koens,Outcome,A1vii,Distributed database,,,,,,
Koens,Outcome,A3,Don't use/no solutions,,,,,,
Koens,Outcome,B1,Public permissionless blockchain,,,,,,
Koens,Outcome,B3,Distributed ledger,,,,,,
Lewis,Decision,1,Could this have been fixed before blockchains?,Yes,A1,No,2,,
Lewis,Decision,2,Is this a 'digital identities' and 'blockchains are free' play?,Yes,A1,No,3,,
Lewis,Decision,3,Should or control? could an entity have overall,Yes,A1,No,4,,
Lewis,Decision,4,Will all participants need to upgrade/replace systems?,Yes,5,No,6,,
Lewis,Decision,5,Can they adopt? Do the benefits justify the cost of adoption?,Yes,6,No,A1,,
Lewis,Decision,6,Will participants mind their data being visible?,Yes,A1,No,B,,
Lewis,Outcome,A1,Try a normal database,,,,,,
Lewis,Outcome,B,You may have a use case!,,,,,,
Lin (Social),Decision,1,Is there a need for baseline agricultural and environmental quality data?,Yes,2,No,A,,
Lin (Social),Decision,2,Is there a need for participatory data management?,Yes,3,No,A,,
